model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human,view_exp_accuracy
davit_base.msft_in1k,Transformer,ImageNet 1k,84.642,51.1954262,70.10148322,58.5106383,62.76595745,42.5
davit_small.msft_in1k,Transformer,ImageNet 1k,84.252,51.24740125,72.63856362,57.44680851,64.89361702,45
davit_tiny.msft_in1k,Transformer,ImageNet 1k,82.696,49.76611227,70.76502732,52.12765957,67.0212766,55
deit_base_distilled_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.39,51.74116424,69.59406714,56.38297872,75.53191489,60
deit_base_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.992,50.41580042,69.04761905,59.57446809,64.89361702,47.5
deit_small_distilled_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.216,51.84511435,68.735363,59.57446809,63.82978723,47.5
deit_small_patch16_224.fb_in1k,Transformer,ImageNet 1k,79.848,51.76715177,65.10538642,54.25531915,59.57446809,50
deit_tiny_distilled_patch16_224.fb_in1k,Transformer,ImageNet 1k,74.504,51.11746362,65.49570648,47.87234043,62.76595745,52.5
deit_tiny_patch16_224.fb_in1k,Transformer,ImageNet 1k,72.17,52.33887734,67.01795472,42.55319149,59.57446809,50
deit3_base_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.786,50.67567568,68.69633099,50,58.5106383,42.5
deit3_base_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,85.7,52.62474012,68.81342701,61.70212766,53.19148936,42.5
deit3_medium_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.086,52.31288981,71.35050742,56.38297872,60.63829787,37.5
deit3_medium_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,84.55,51.27338877,68.85245902,51.06382979,62.76595745,47.5
deit3_small_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.37,49.61018711,62.17798595,44.68085106,57.44680851,50
deit3_small_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,83.076,51.4033264,63.58313817,59.57446809,54.25531915,45
densenet121.tv_in1k,CNN,ImageNet 1k,74.764,52.26091476,63.7782982,48.93617021,65.95744681,52.5
densenet161.tv_in1k,CNN,ImageNet 1k,77.358,51.97505198,65.88602654,54.25531915,61.70212766,47.5
densenet169.tv_in1k,CNN,ImageNet 1k,75.9,50.36382536,63.34894614,58.5106383,57.44680851,47.5
densenet201.tv_in1k,CNN,ImageNet 1k,77.286,51.01351351,68.85245902,57.44680851,69.14893617,47.5
dla102.in1k,CNN,ImageNet 1k,78.024,50.07796258,65.69086651,59.57446809,61.70212766,50
dla169.in1k,CNN,ImageNet 1k,78.708,50.15592516,67.83762685,50,54.25531915,57.5
dla34.in1k,CNN,ImageNet 1k,74.64,50.5977131,63.34894614,50,62.76595745,55
dla46_c.in1k,CNN,ImageNet 1k,64.872,50.18191268,59.3676815,48.93617021,64.89361702,45
dla60.in1k,CNN,ImageNet 1k,77.046,51.79313929,66.47150664,47.87234043,58.5106383,55
dpn107.mx_in1k,CNN,ImageNet 1k,80.17,50.75363825,63.70023419,46.80851064,59.57446809,50
dpn131.mx_in1k,CNN,ImageNet 1k,79.814,51.61122661,61.43637783,45.74468085,57.44680851,47.5
dpn68.mx_in1k,CNN,ImageNet 1k,76.346,51.42931393,58.19672131,51.06382979,61.70212766,42.5
dpn68b.mx_in1k,CNN,ImageNet 1k,77.518,49.22037422,66.66666667,56.38297872,58.5106383,50
dpn92.mx_in1k,CNN,ImageNet 1k,80.038,50.36382536,62.76346604,57.44680851,58.5106383,37.5
dpn98.mx_in1k,CNN,ImageNet 1k,79.67,49.76611227,61.67056987,47.87234043,61.70212766,52.5
efficientformer_l1.snap_dist_in1k,Transformer,ImageNet 1k,80.498,49.74012474,67.75956284,55.31914894,65.95744681,42.5
efficientformer_l3.snap_dist_in1k,Transformer,ImageNet 1k,82.548,49.79209979,68.85245902,47.87234043,55.31914894,52.5
efficientformer_l7.snap_dist_in1k,Transformer,ImageNet 1k,83.382,51.09147609,65.6518345,56.38297872,58.5106383,42.5
efficientformerv2_l.snap_dist_in1k,Transformer,ImageNet 1k,83.632,50.28586279,68.65729899,50,57.44680851,42.5
efficientformerv2_s0.snap_dist_in1k,Transformer,ImageNet 1k,76.114,51.48128898,65.69086651,54.25531915,57.44680851,47.5
efficientformerv2_s1.snap_dist_in1k,Transformer,ImageNet 1k,79.692,50.15592516,65.76893052,55.31914894,58.5106383,55
efficientformerv2_s2.snap_dist_in1k,Transformer,ImageNet 1k,82.166,51.01351351,65.49570648,57.44680851,50,50
efficientnet_b0.ra_in1k,CNN,ImageNet 1k,77.694,50.46777547,68.22794692,55.31914894,63.82978723,57.5
efficientnet_es_pruned.in1k,CNN,ImageNet 1k,75.006,51.8970894,65.14441842,51.06382979,63.82978723,47.5
efficientnet_es.ra_in1k,CNN,ImageNet 1k,78.058,50.57172557,65.10538642,54.25531915,53.19148936,50
efficientnet_lite0.ra_in1k,CNN,ImageNet 1k,75.482,50.75363825,63.7392662,51.06382979,69.14893617,55
focalnet_base_srf.ms_in1k,Transformer,ImageNet 1k,83.82,51.09147609,68.42310695,55.31914894,59.57446809,50
focalnet_small_srf.ms_in1k,Transformer,ImageNet 1k,83.416,50.88357588,67.01795472,58.5106383,51.06382979,50
focalnet_tiny_srf.ms_in1k,Transformer,ImageNet 1k,82.138,51.32536383,66.93989071,55.31914894,53.19148936,60
focalnet_base_lrf.ms_in1k,Transformer,ImageNet 1k,83.838,51.61122661,68.85245902,57.44680851,61.70212766,50
focalnet_small_lrf.ms_in1k,Transformer,ImageNet 1k,83.494,50.93555094,66.62763466,51.06382979,56.38297872,47.5
focalnet_tiny_lrf.ms_in1k,Transformer,ImageNet 1k,82.154,50.28586279,68.85245902,51.06382979,59.57446809,50
hrnet_w18_small_v2.ms_in1k,CNN,ImageNet 1k,75.11,50.54573805,67.21311475,53.19148936,67.0212766,50
hrnet_w18_small.ms_in1k,CNN,ImageNet 1k,72.336,50.54573805,62.80249805,43.61702128,68.08510638,50
hrnet_w18.ms_in1k,CNN,ImageNet 1k,76.752,50.54573805,66.15925059,51.06382979,61.70212766,45
hrnet_w30.ms_in1k,CNN,ImageNet 1k,78.196,49.32432432,64.79313037,53.19148936,69.14893617,42.5
hrnet_w32.ms_in1k,CNN,ImageNet 1k,78.442,50.38981289,67.83762685,50,63.82978723,47.5
hrnet_w40.ms_in1k,CNN,ImageNet 1k,78.932,51.61122661,63.19281811,50,60.63829787,47.5
hrnet_w44.ms_in1k,CNN,ImageNet 1k,78.894,50.25987526,66.93989071,61.70212766,60.63829787,52.5
hrnet_w48.ms_in1k,CNN,ImageNet 1k,79.306,49.50623701,66.43247463,52.12765957,57.44680851,57.5
lcnet_050.ra2_in1k,CNN,ImageNet 1k,63.138,50.83160083,58.54800937,51.06382979,69.14893617,50
lcnet_075.ra2_in1k,CNN,ImageNet 1k,68.782,50.23388773,60.73380172,54.25531915,65.95744681,50
lcnet_100.ra2_in1k,CNN,ImageNet 1k,72.102,51.27338877,63.19281811,54.25531915,72.34042553,55
levit_128.fb_dist_in1k,Transformer,ImageNet 1k,78.49,48.98648649,65.22248244,56.38297872,52.12765957,40
levit_128s.fb_dist_in1k,Transformer,ImageNet 1k,76.526,49.55821206,63.93442623,46.80851064,59.57446809,50
levit_192.fb_dist_in1k,Transformer,ImageNet 1k,79.838,49.53222453,66.93989071,51.06382979,59.57446809,50
levit_256.fb_dist_in1k,Transformer,ImageNet 1k,81.524,51.11746362,64.16861827,53.19148936,58.5106383,47.5
levit_384.fb_dist_in1k,Transformer,ImageNet 1k,82.596,50.38981289,70.99921936,53.19148936,54.25531915,50
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,Transformer,ImageNet 12k,86.894,50.36382536,70.17954723,52.12765957,56.38297872,55
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,Transformer,ImageNet 12k,87.464,51.71517672,76.8930523,54.25531915,64.89361702,47.5
maxvit_rmlp_small_rw_224.sw_in1k,Transformer,ImageNet 1k,84.492,50.80561331,68.26697892,48.93617021,64.89361702,45
maxvit_small_tf_224.in1k,Transformer,ImageNet 1k,84.426,50.72765073,72.09211553,56.38297872,62.76595745,50
maxvit_tiny_rw_224.sw_in1k,Transformer,ImageNet 1k,83.504,50.51975052,65.88602654,55.31914894,55.31914894,50
maxvit_tiny_tf_224.in1k,Transformer,ImageNet 1k,83.402,50.02598753,66.2763466,53.19148936,61.70212766,50
mixnet_l.ft_in1k,CNN,ImageNet 1k,78.966,51.45530146,67.83762685,47.87234043,60.63829787,52.5
mixnet_m.ft_in1k,CNN,ImageNet 1k,77.26,50.62370062,71.8969555,51.06382979,71.27659574,52.5
mixnet_s.ft_in1k,CNN,ImageNet 1k,75.994,50.85758836,66.54957065,52.12765957,71.27659574,50
mixnet_xl.ra_in1k,CNN,ImageNet 1k,80.482,51.37733888,67.29117877,53.19148936,64.89361702,52.5
mobilenetv2_050.lamb_in1k,CNN,ImageNet 1k,65.948,50.33783784,59.21155347,55.31914894,60.63829787,50
mobilenetv2_100.ra_in1k,CNN,ImageNet 1k,72.968,50.05197505,61.20218579,50,65.95744681,52.5
mobilenetv2_110d.ra_in1k,CNN,ImageNet 1k,75.054,50.20790021,66.47150664,54.25531915,67.0212766,45
mobilenetv2_120d.ra_in1k,CNN,ImageNet 1k,77.308,51.74116424,59.13348946,46.80851064,56.38297872,55
mobilenetv2_140.ra_in1k,CNN,ImageNet 1k,76.516,50.33783784,60.6167057,51.06382979,64.89361702,50
mobilenetv3_large_100.miil_in21k_ft_in1k,CNN,ImageNet 21k,77.92,49.74012474,65.80796253,44.68085106,64.89361702,50
mobilenetv3_large_100.ra_in1k,CNN,ImageNet 1k,75.766,50.05197505,64.4028103,48.93617021,60.63829787,50
mobilenetv3_rw.rmsp_in1k,CNN,ImageNet 1k,75.62,49.50623701,71.31147541,58.5106383,64.89361702,40
mobilenetv3_small_075.lamb_in1k,CNN,ImageNet 1k,65.236,50.41580042,63.7782982,44.68085106,73.40425532,50
mobilenetv3_small_100.lamb_in1k,CNN,ImageNet 1k,67.658,50.62370062,60.26541764,46.80851064,65.95744681,52.5
mvitv2_base.fb_in1k,Transformer,ImageNet 1k,84.45,51.50727651,71.77985948,52.12765957,64.89361702,52.5
mvitv2_small.fb_in1k,Transformer,ImageNet 1k,83.77,50.12993763,72.40437158,56.38297872,63.82978723,55
mvitv2_tiny.fb_in1k,Transformer,ImageNet 1k,82.41,50.23388773,71.11631538,61.70212766,58.5106383,45
pit_b_224.in1k,Transformer,ImageNet 1k,82.438,51.03950104,72.32630757,53.19148936,69.14893617,52.5
pit_b_distilled_224.in1k,Transformer,ImageNet 1k,83.766,50.54573805,70.45277127,44.68085106,61.70212766,50
pit_s_224.in1k,Transformer,ImageNet 1k,81.086,50.62370062,68.774395,51.06382979,65.95744681,47.5
pit_s_distilled_224.in1k,Transformer,ImageNet 1k,81.814,50.46777547,69.20374707,52.12765957,59.57446809,60
pit_ti_224.in1k,Transformer,ImageNet 1k,72.91,50.46777547,67.36924278,55.31914894,58.5106383,45
pit_ti_distilled_224.in1k,Transformer,ImageNet 1k,74.256,50.36382536,65.72989852,55.31914894,63.82978723,50
pit_xs_224.in1k,Transformer,ImageNet 1k,78.176,52.31288981,68.50117096,51.06382979,65.95744681,50
pit_xs_distilled_224.in1k,Transformer,ImageNet 1k,79.18,50.83160083,69.43793911,62.76595745,63.82978723,45
poolformer_m36.sail_in1k,MetaFormer,ImageNet 1k,82.102,50.67567568,66.66666667,57.44680851,57.44680851,42.5
poolformer_s12.sail_in1k,MetaFormer,ImageNet 1k,77.24,50.05197505,61.82669789,59.57446809,58.5106383,52.5
poolformer_s24.sail_in1k,MetaFormer,ImageNet 1k,80.294,49.22037422,70.06245121,48.93617021,63.82978723,52.5
poolformer_s36.sail_in1k,MetaFormer,ImageNet 1k,81.43,51.50727651,63.46604215,55.31914894,53.19148936,52.5
poolformerv2_m36.sail_in1k,MetaFormer,ImageNet 1k,82.216,50.02598753,65.76893052,53.19148936,54.25531915,50
poolformerv2_s12.sail_in1k,MetaFormer,ImageNet 1k,78.002,50.85758836,64.32474629,56.38297872,50,60
poolformerv2_s24.sail_in1k,MetaFormer,ImageNet 1k,80.748,51.81912682,65.76893052,51.06382979,59.57446809,42.5
poolformerv2_s36.sail_in1k,MetaFormer,ImageNet 1k,81.566,50.96153846,66.93989071,55.31914894,67.0212766,50
pvt_v2_b0.in1k,Transformer,ImageNet 1k,70.66,51.45530146,66.04215457,50,56.38297872,52.5
pvt_v2_b1.in1k,Transformer,ImageNet 1k,78.704,51.92307692,63.66120219,54.25531915,57.44680851,50
pvt_v2_b2_li.in1k,Transformer,ImageNet 1k,82.194,49.71413721,66.74473068,48.93617021,57.44680851,55
pvt_v2_b2.in1k,Transformer,ImageNet 1k,82.084,49.92203742,65.49570648,57.44680851,57.44680851,60
pvt_v2_b3.in1k,Transformer,ImageNet 1k,83.118,51.48128898,64.24668228,56.38297872,57.44680851,57.5
pvt_v2_b4.in1k,Transformer,ImageNet 1k,83.712,51.32536383,63.1537861,55.31914894,56.38297872,42.5
pvt_v2_b5.in1k,Transformer,ImageNet 1k,83.74,49.68814969,66.58860265,55.31914894,54.25531915,52.5
regnetx_004_tv.tv2_in1k,CNN,ImageNet 1k,74.6,49.19438669,65.06635441,47.87234043,62.76595745,52.5
regnetx_008.tv2_in1k,CNN,ImageNet 1k,77.306,51.22141372,64.67603435,48.93617021,65.95744681,55
regnetx_016.tv2_in1k,CNN,ImageNet 1k,79.436,50.18191268,65.88602654,57.44680851,50,50
regnety_004.tv2_in1k,CNN,ImageNet 1k,75.594,51.14345114,68.57923497,47.87234043,60.63829787,55
regnety_008_tv.tv2_in1k,CNN,ImageNet 1k,78.666,49.92203742,66.54957065,56.38297872,58.5106383,52.5
regnety_016.tv2_in1k,CNN,ImageNet 1k,80.666,50.36382536,66.82279469,58.5106383,54.25531915,62.5
repvgg_b0.rvgg_in1k,CNN,ImageNet 1k,75.144,50.90956341,68.26697892,48.93617021,58.5106383,50
repvgg_b1.rvgg_in1k,CNN,ImageNet 1k,78.368,51.01351351,63.7392662,59.57446809,58.5106383,45
repvgg_b1g4.rvgg_in1k,CNN,ImageNet 1k,77.588,52.7027027,68.03278689,53.19148936,76.59574468,37.5
repvgg_b2.rvgg_in1k,CNN,ImageNet 1k,78.792,51.22141372,69.71116315,61.70212766,65.95744681,50
repvgg_b2g4.rvgg_in1k,CNN,ImageNet 1k,79.382,52.18295218,68.54020297,56.38297872,65.95744681,55
repvgg_b3g4.rvgg_in1k,CNN,ImageNet 1k,80.216,52.52079002,67.87665886,56.38297872,62.76595745,42.5
res2net50_14w_8s.in1k,CNN,ImageNet 1k,78.158,50.72765073,64.20765027,48.93617021,55.31914894,47.5
res2net50_26w_4s.in1k,CNN,ImageNet 1k,77.95,51.01351351,60.38251366,53.19148936,55.31914894,47.5
res2net50_26w_6s.in1k,CNN,ImageNet 1k,78.568,49.97401247,65.37861046,50,60.63829787,55
res2net50_26w_8s.in1k,CNN,ImageNet 1k,78.942,50.5977131,61.31928181,56.38297872,57.44680851,50
res2net50_48w_2s.in1k,CNN,ImageNet 1k,77.514,50.57172557,63.46604215,58.5106383,52.12765957,50
resnest50d_1s4x24d.in1k,CNN,ImageNet 1k,80.988,49.81808732,71.58469945,58.5106383,63.82978723,45
resnest50d_4s2x40d.in1k,CNN,ImageNet 1k,81.12,49.87006237,71.77985948,54.25531915,62.76595745,50
resnest50d.in1k,CNN,ImageNet 1k,80.96,49.92203742,73.41920375,54.25531915,70.21276596,52.5
resnet10t.c3_in1k,CNN,ImageNet 1k,68.364,50.98752599,59.67993755,47.87234043,61.70212766,50
resnet14t.c3_in1k,CNN,ImageNet 1k,72.254,52.18295218,66.2373146,56.38297872,62.76595745,45
resnet18.fb_ssl_yfcc100m_ft_in1k,CNN,YFCC100M,72.598,51.11746362,64.01249024,54.25531915,68.08510638,55
resnet18.fb_swsl_ig1b_ft_in1k,CNN,Instagram-1B hashtags,73.288,51.48128898,68.1498829,50,64.89361702,47.5
resnet18.tv_in1k,CNN,ImageNet 1k,69.76,49.35031185,64.24668228,50,58.5106383,52.5
resnet50.a1h_in1k,CNN,ImageNet 1k,80.678,52.39085239,64.05152225,44.68085106,59.57446809,47.5
resnet50.am_in1k,CNN,ImageNet 1k,79.002,49.87006237,63.81733021,40.42553191,62.76595745,55
resnet50.tv_in1k,CNN,ImageNet 1k,76.128,51.16943867,64.44184231,55.31914894,60.63829787,42.5
resnet50d.a3_in1k,CNN,ImageNet 1k,78.72,49.55821206,65.96409055,51.06382979,68.08510638,52.5
resnetrs50.tf_in1k,CNN,ImageNet 1k,79.894,50.49376299,69.71116315,60.63829787,61.70212766,50
resnet18.gluon_in1k,CNN,ImageNet 1k,70.834,51.22141372,59.13348946,48.93617021,63.82978723,50
resnet34.gluon_in1k,CNN,ImageNet 1k,74.58,49.37629938,62.68540203,51.06382979,58.5106383,55
rexnet_100.nav_in1k,CNN,ImageNet 1k,77.856,50.33783784,65.80796253,47.87234043,63.82978723,52.5
rexnet_130.nav_in1k,CNN,ImageNet 1k,79.506,51.22141372,67.64246682,59.57446809,71.27659574,52.5
rexnet_150.nav_in1k,CNN,ImageNet 1k,80.324,49.50623701,67.13505074,51.06382979,62.76595745,50
rexnet_200.nav_in1k,CNN,ImageNet 1k,81.636,51.81912682,71.58469945,50,63.82978723,55
rexnet_300.nav_in1k,CNN,ImageNet 1k,82.774,51.14345114,72.83372365,55.31914894,61.70212766,55
skresnet18.ra_in1k,CNN,ImageNet 1k,73.034,49.61018711,63.1147541,53.19148936,61.70212766,52.5
skresnet34.ra_in1k,CNN,ImageNet 1k,76.91,49.4022869,65.14441842,47.87234043,61.70212766,62.5
swin_base_patch4_window7_224.ms_in1k,Transformer,ImageNet 1k,83.606,50.5977131,68.38407494,55.31914894,51.06382979,47.5
swin_base_patch4_window7_224.ms_in22k_ft_in1k,Transformer,ImageNet 21k,85.272,50.02598753,75.25370804,44.68085106,63.82978723,50
swin_s3_base_224.ms_in1k,Transformer,ImageNet 1k,83.92,52.65072765,69.82825917,58.5106383,65.95744681,47.5
swin_s3_small_224.ms_in1k,Transformer,ImageNet 1k,83.756,51.45530146,63.54410617,54.25531915,57.44680851,55
swin_s3_tiny_224.ms_in1k,Transformer,ImageNet 1k,82.144,49.8960499,65.80796253,46.80851064,53.19148936,50
swin_small_patch4_window7_224.ms_in1k,Transformer,ImageNet 1k,83.208,50.72765073,67.68149883,51.06382979,59.57446809,47.5
swin_small_patch4_window7_224.ms_in22k_ft_in1k,Transformer,ImageNet 21k,83.298,50.7016632,68.22794692,47.87234043,65.95744681,50
swin_tiny_patch4_window7_224.ms_in1k,Transformer,ImageNet 1k,81.376,50.67567568,66.19828259,58.5106383,58.5106383,45
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,Transformer,ImageNet 21k,80.968,51.32536383,67.25214676,57.44680851,58.5106383,42.5
tresnet_l.miil_in1k,CNN,ImageNet 1k,81.48,50.83160083,63.70023419,51.06382979,56.38297872,52.5
tresnet_m.miil_in1k,CNN,ImageNet 1k,80.798,51.16943867,67.17408275,50,68.08510638,50
tresnet_m.miil_in21k_ft_in1k,CNN,ImageNet 21k,83.07,50.83160083,66.8618267,56.38297872,61.70212766,50
tresnet_v2_l.miil_in21k_ft_in1k,CNN,ImageNet 21k,83.894,51.32536383,69.3989071,50,64.89361702,55
tresnet_xl.miil_in1k,CNN,ImageNet 1k,82.074,52.36486486,68.38407494,51.06382979,61.70212766,52.5
twins_pcpvt_base.in1k,Transformer,ImageNet 1k,82.714,50.05197505,63.62217018,56.38297872,56.38297872,37.5
twins_pcpvt_large.in1k,Transformer,ImageNet 1k,83.13,50.05197505,67.05698673,52.12765957,56.38297872,50
twins_pcpvt_small.in1k,Transformer,ImageNet 1k,81.092,50.41580042,66.43247463,56.38297872,55.31914894,55
twins_svt_base.in1k,Transformer,ImageNet 1k,83.12,50.57172557,64.44184231,55.31914894,56.38297872,50
twins_svt_small.in1k,Transformer,ImageNet 1k,81.676,51.06548857,67.05698673,59.57446809,57.44680851,47.5
vgg11_bn.tv_in1k,CNN,ImageNet 1k,70.382,49.74012474,60.73380172,50,64.89361702,50
vgg11.tv_in1k,CNN,ImageNet 1k,69.022,51.37733888,59.56284153,46.80851064,55.31914894,55
vgg13_bn.tv_in1k,CNN,ImageNet 1k,71.588,50.44178794,60.69476971,55.31914894,69.14893617,52.5
vgg13.tv_in1k,CNN,ImageNet 1k,69.932,50.51975052,63.34894614,56.38297872,61.70212766,50
vgg16_bn.tv_in1k,CNN,ImageNet 1k,73.37,49.50623701,60.92896175,54.25531915,61.70212766,42.5
vgg16.tv_in1k,CNN,ImageNet 1k,71.592,52.62474012,61.00702576,57.44680851,55.31914894,57.5
vgg19_bn.tv_in1k,CNN,ImageNet 1k,74.216,50.51975052,63.42701015,52.12765957,57.44680851,50
vgg19.tv_in1k,CNN,ImageNet 1k,72.378,50.90956341,61.74863388,47.87234043,67.0212766,50
visformer_small.in1k,Hybrid,ImageNet 1k,82.106,48.67463617,66.47150664,50,60.63829787,55
visformer_tiny.in1k,Hybrid,ImageNet 1k,78.16,50.72765073,66.78376269,55.31914894,50,57.5
vit_base_patch16_224_miil.in21k_ft_in1k,Transformer,ImageNet 21k,84.266,50.25987526,70.0234192,56.38297872,68.08510638,45
