unique_string,worker_id,assignment_id,hit_id,video_url,response,label,correctness,timeout,experiment_number,ip_address,time_taken,submission_timestamp,correct_during_trial,incorrect_during_trial,device_properties
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/03/0037.png,0,1,0,False,0,173.30.18.144,2.319305419921875,2024-04-05 01:13:02.198224,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/09/0033.png,1,0,0,False,1,173.30.18.144,2.7482235431671143,2024-04-05 01:13:06.443937,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,suitcase/suitcase_03/07/0016.png,1,0,0,False,2,173.30.18.144,2.96234130859375,2024-04-05 01:13:10.685936,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,couch/couch_03/03/0040.png,1,1,1,False,3,173.30.18.144,2.378824234008789,2024-04-05 01:13:14.428222,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/07/0048.png,0,0,1,False,4,173.30.18.144,2.561652421951294,2024-04-05 01:13:18.235011,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,hydrant/hydrant_03/06/0005.png,0,0,1,False,5,173.30.18.144,2.449021577835083,2024-04-05 01:13:21.942837,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/07/0044.png,0,0,1,False,6,173.30.18.144,2.35552716255188,2024-04-05 01:13:25.536449,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,car/car_03/07/0019.png,1,0,0,False,7,173.30.18.144,2.4261271953582764,2024-04-05 01:13:29.287086,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,bench/bench_03/09/0040.png,0,0,1,False,8,173.30.18.144,2.461932182312012,2024-04-05 01:13:33.008263,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
650b3c697118ddbd9d4a1a18d8078b1c,A39MKVROUZ1UWR,33IZTU6J811OA57E3KC53P18PDBSXF,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,umbrella/umbrella_03/09/0038.png,0,0,1,False,9,173.30.18.144,2.4322056770324707,2024-04-05 01:13:36.752161,8,14,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
