unique_string,worker_id,assignment_id,hit_id,video_url,response,label,correctness,timeout,experiment_number,ip_address,time_taken,submission_timestamp,correct_during_trial,incorrect_during_trial,device_properties
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,chair/chair_03/03/0037.png,0,1,0,False,0,2.80.86.134,2.946650981903076,2024-04-11 19:23:54.265526,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,chair/chair_03/09/0033.png,0,0,1,False,1,2.80.86.134,2.6707897186279297,2024-04-11 19:23:58.445672,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,suitcase/suitcase_03/07/0016.png,0,0,1,False,2,2.80.86.134,2.929761409759521,2024-04-11 19:24:02.917602,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,couch/couch_03/03/0040.png,1,1,1,False,3,2.80.86.134,2.644351005554199,2024-04-11 19:24:07.048364,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,chair/chair_03/07/0048.png,0,0,1,False,4,2.80.86.134,2.735363483428955,2024-04-11 19:24:11.267572,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,hydrant/hydrant_03/06/0005.png,0,0,1,False,5,2.80.86.134,2.8062477111816406,2024-04-11 19:24:15.569805,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,chair/chair_03/07/0044.png,1,0,0,False,6,2.80.86.134,3.104902982711792,2024-04-11 19:24:20.183528,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,car/car_03/07/0019.png,0,0,1,False,7,2.80.86.134,2.7394139766693115,2024-04-11 19:24:24.413657,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,bench/bench_03/09/0040.png,0,0,1,False,8,2.80.86.134,2.726473093032837,2024-04-11 19:24:28.638050,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,umbrella/umbrella_03/09/0038.png,0,0,1,False,9,2.80.86.134,2.69551944732666,2024-04-11 19:24:32.842279,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,couch/couch_03/05/0047.png,1,1,1,False,10,2.80.86.134,2.700737237930298,2024-04-11 19:24:37.065373,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,umbrella/umbrella_03/09/0009.png,0,0,1,False,11,2.80.86.134,2.8359262943267822,2024-04-11 19:24:41.402032,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,chair/chair_03/01/0042.png,1,1,1,False,12,2.80.86.134,3.214444160461426,2024-04-11 19:24:46.115502,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,laptop/laptop_03/08/0012.png,0,0,1,False,13,2.80.86.134,2.545504570007324,2024-04-11 19:24:50.159008,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,suitcase/suitcase_03/04/0018.png,1,1,1,False,14,2.80.86.134,2.749952554702759,2024-04-11 19:24:54.412377,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,couch/couch_03/02/0009.png,1,1,1,False,15,2.80.86.134,2.8921494483947754,2024-04-11 19:24:58.800084,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,motorcycle/motorcycle_03/08/0003.png,0,0,1,False,16,2.80.86.134,2.763000011444092,2024-04-11 19:25:03.061308,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,chair/chair_03/08/0042.png,0,0,1,False,17,2.80.86.134,2.992172956466675,2024-04-11 19:25:07.560345,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,chair/chair_03/07/0039.png,1,0,0,False,18,2.80.86.134,3.0029683113098145,2024-04-11 19:25:12.068246,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,suitcase/suitcase_03/08/0012.png,0,0,1,False,19,2.80.86.134,2.6706655025482178,2024-04-11 19:25:16.250407,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,suitcase/suitcase_03/02/0046.png,1,1,1,False,20,2.80.86.134,2.834423780441284,2024-04-11 19:25:42.089735,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,bench/bench_03/07/0022.png,0,0,1,False,21,2.80.86.134,2.8306679725646973,2024-04-11 19:25:46.405078,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,laptop/laptop_03/03/0011.png,1,1,1,False,22,2.80.86.134,2.7884464263916016,2024-04-11 19:25:50.693411,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
f744207cd1eaf6422cadbabad921032b,5f3a9083cee6b36b57522344,66183540d03c064f2a9c7fe4,661833849fb2ff5c1edce07e,bench/bench_03/04/0010.png,1,1,1,False,23,2.80.86.134,2.8234729766845703,2024-04-11 19:25:55.032645,18,3,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0"
